,hart
473,-1916
474,-1995
475,-1975
476,-2025
477,-2096
478,-1956
479,-1820
480,-1785
481,-1756
482,-1559
483,-1382
484,-1317
485,-1174
486,-911
487,-636
488,-449
489,-243
490,-223
491,-76
492,314
493,664
494,1119
495,1306
496,1301
497,1192
498,978
499,936
500,707
501,629
502,1076
503,1312
504,1428
505,1445
506,1122
507,649
508,23
509,-544
510,-982
511,-1067
512,-868
513,-921
514,-944
515,-809
516,-20
517,1198
518,2115
519,2759
520,2433
521,1196
522,-620
523,-2694
524,-4493
525,-6259
526,-7694
527,-8403
528,-8643
529,-8223
530,-7943
531,-7338
532,-6258
533,-5724
534,-4970
535,-3946
536,-3285
537,-2369
538,-1534
539,-1077
540,-265
541,693
542,1544
543,2539
544,3402
545,4209
546,5252
547,6181
548,7013
549,7888
550,8357
551,8366
552,8065
553,7646
554,6801
555,5388
556,4206
557,2727
558,734
559,-823
560,-2216
561,-3890
562,-5390
563,-6564
564,-7699
565,-8552
566,-8708
567,-8261
568,-7277
569,-5784
570,-4410
571,-3206
572,-1978
573,-259
574,2406
575,5461
576,8706
577,11620
578,13680
579,15230
580,16380
581,16925
582,17107
583,17256
584,17458
585,18090
586,18933
587,19706
588,20671
589,21400
590,21549
591,21180
592,20528
593,19580
594,18365
595,17382
596,16038
597,14242
598,12847
599,11736
600,10413
601,8879
602,7403
603,5495
604,3023
605,-132
606,-3502
607,-6856
608,-10371
609,-13521
610,-16098
611,-18157
612,-19530
613,-20646
614,-21705
615,-22777
616,-24029
617,-25225
618,-26223
619,-26507
620,-26156
621,-25478
622,-23996
623,-22454
624,-21120
625,-19604
626,-18131
627,-16550
628,-14800
629,-13124
630,-11558
631,-9813
632,-7907
633,-6203
634,-4428
635,-2610
636,-1039
637,574
638,1967
639,2960
640,3779
641,4428
642,4930
643,5422
644,5872
645,6195
646,6642
647,7212
648,7542
649,7889
650,8134
651,8092
652,8296
653,8319
654,7838
655,7401
656,6824
657,5878
658,4709
659,3582
660,2403
661,1225
662,151
663,-895
664,-1955
665,-2883
666,-3646
667,-4448
668,-5329
669,-5938
670,-6391
671,-6701
672,-6728
673,-6789
674,-6630
675,-6440
676,-6341
677,-5931
678,-5503
679,-4954
680,-4325
681,-3933
682,-3289
683,-2677
684,-2289
685,-1832
686,-1389
687,-968
688,-904
689,-999
690,-886
691,-928
692,-1030
693,-850
694,-568
695,-467
696,-228
697,75
698,152
699,203
700,261
701,369
702,730
703,1091
704,1462
705,1686
706,1933
707,2237
708,2395
709,2656
710,2853
711,3087
712,3639
713,3968
714,4046
715,4514
716,5011
717,5163
718,5517
719,5967
720,6368
721,6676
722,6720
723,6795
724,7161
725,7269
726,7534
727,8076
728,7979
729,7971
730,7866
731,7705
732,7843
733,7755
734,7842
735,7893
736,7468
737,7053
738,6682
739,6364
740,6025
741,5714
742,5355
743,4865
744,4360
745,3742
746,3453
747,3200
748,2987
749,2793
750,2607
751,2329
752,2029
753,1862
754,1658
755,1405
756,1263
757,1169
758,899
759,593
760,412
761,163
762,-22
763,-63
764,-299
765,-504
766,-775
767,-1115
768,-1203
769,-1435
770,-1756
771,-1749
772,-1812
773,-2045
774,-2102
775,-2190
776,-2346
777,-2475
778,-2581
779,-2828
780,-3052
781,-3077
782,-3266
783,-3305
784,-3075
785,-3241
786,-3311
787,-3226
788,-3341
789,-3212
790,-3191
791,-3453
792,-3292
793,-3171
794,-3232
795,-3231
796,-3225
797,-2991
798,-2825
799,-2751
800,-2584
801,-2327
802,-2137
803,-1941
804,-1710
805,-1510
806,-1199
807,-987
808,-956
809,-705
810,-572
811,-588
812,-448
813,-521
814,-470
815,-487
816,-623
817,-667
818,-772
819,-888
820,-1020
821,-1227
822,-1350
823,-1507
824,-1746
825,-2029
826,-1945
827,-2031
828,-2256
829,-2115
830,-2118
831,-2229
832,-2145
833,-1926
834,-1871
835,-1756
836,-1716
837,-1494
838,-1191
839,-1048
840,-698
841,-396
842,-19
843,441
844,652
845,839
846,1153
847,1340
848,1399
849,1420
850,1383
851,1206
852,1084
853,868
854,291
855,-335
856,-882
857,-1478
858,-1889
859,-2198
860,-2588
861,-2933
862,-3081
863,-3301
864,-3411
865,-3411
866,-3387
867,-2999
868,-2738
869,-2393
870,-1894
871,-1415
872,-826
873,-296
874,225
875,643
876,922
877,1398
878,1642
879,1824
880,2050
881,1985
882,1938
883,1908
884,1670
885,1141
886,888
887,630
888,149
889,-166
890,-716
891,-1103
892,-1301
893,-1599
894,-1719
895,-1850
896,-1779
897,-1458
898,-1186
899,-954
900,-664
901,-330
902,8
903,484
904,816
905,1070
906,1393
907,1663
908,1793
909,1949
910,1900
911,1830
912,1726
913,1558
914,1309
915,994
916,752
917,430
918,56
919,-273
920,-534
921,-861
922,-989
923,-916
924,-778
925,-766
926,-589
927,-364
928,-226
929,-46
930,136
931,262
932,449
933,673
934,739
935,942
936,916
937,915
938,1045
939,1023
940,1019
941,1104
942,1142
943,1225
944,1264
945,1165
946,1127
947,1294
948,1123
949,964
950,1004
951,717
952,628
953,474
954,204
955,-125
956,-379
957,-489
958,-707
959,-937
960,-1162
961,-1278
962,-1264
963,-1431
964,-1553
965,-1593
966,-1551
967,-1428
968,-1333
969,-1187
970,-1059
971,-878
972,-605
973,-254
974,-71
975,151
976,404
977,589
978,949
979,1157
980,1239
981,1489
982,1409
983,1327
984,1223
985,940
986,743
987,556
988,246
989,46
990,-135
991,-434
992,-621
993,-748
994,-849
995,-815
996,-891
997,-939
998,-979
999,-964
1000,-919
1001,-788
1002,-648
1003,-609
1004,-377
1005,-243
1006,-71
1007,234
1008,411
1009,644
1010,958
1011,1212
1012,1304
1013,1333
1014,1224
1015,966
1016,818
1017,607
1018,211
1019,-79
1020,-406
1021,-720
1022,-865
1023,-1069
1024,-1217
1025,-1253
1026,-1092
1027,-959
1028,-847
1029,-580
1030,-235
1031,-25
1032,230
1033,516
1034,711
1035,908
1036,1082
1037,1244
1038,1353
1039,1390
1040,1424
1041,1538
1042,1632
1043,1527
1044,1527
1045,1451
1046,1120
1047,928
1048,651
1049,388
1050,118
1051,-82
1052,-325
1053,-402
1054,-447
1055,-713
1056,-869
1057,-908
1058,-939
1059,-895
1060,-881
1061,-783
1062,-582
1063,-377
1064,-197
1065,-90
1066,185
1067,527
1068,655
1069,817
1070,1199
1071,1388
1072,1462
1073,1664
1074,1864
1075,1901
1076,1968
1077,2119
1078,2056
1079,2097
1080,2090
1081,1820
1082,1903
1083,1779
1084,1487
1085,1273
1086,963
1087,801
1088,562
1089,377
1090,158
1091,67
1092,-76
1093,-334
1094,-280
1095,-136
1096,183
1097,783
1098,1427
1099,2132
1100,2328
1101,2160
1102,2103
1103,1869
1104,1717
1105,1727
1106,1759
1107,1694
1108,1381
1109,1090
1110,788
1111,559
1112,332
1113,-54
1114,-198
1115,-279
1116,-368
1117,-314
1118,-503
1119,-589
1120,-745
1121,-894
1122,-964
1123,-1159
1124,-1208
1125,-1225
1126,-1268
1127,-1222
1128,-1185
1129,-1098
1130,-1007
1131,-1059
1132,-1093
1133,-1136
1134,-981
1135,-871
1136,-993
1137,-919
1138,-717
1139,-575
1140,-464
1141,-379
1142,-203
1143,-102
1144,75
1145,169
1146,228
1147,416
1148,336
1149,283
1150,259
1151,89
1152,58
1153,170
1154,154
1155,-18
1156,-50
1157,-5
1158,-129
1159,-95
1160,-191
1161,-244
1162,-208
1163,-315
1164,-469
1165,-696
1166,-810
1167,-889
1168,-983
1169,-815
1170,-791
1171,-955
1172,-919
1173,-976
1174,-867
1175,-752
1176,-855
1177,-764
1178,-693
1179,-723
1180,-654
1181,-648
1182,-551
1183,-356
1184,-266
1185,-238
1186,-112
1187,-210
1188,-427
1189,-388
1190,-593
1191,-779
1192,-781
1193,-837
1194,-1083
1195,-1190
1196,-1347
1197,-1505
1198,-1496
1199,-1539
1200,-1458
1201,-1287
1202,-1142
1203,-966
1204,-908
1205,-779
1206,-567
1207,-503
1208,-441
1209,-369
1210,-358
1211,-266
1212,-252
1213,-219
1214,-66
1215,-165
1216,-179
1217,-145
1218,-185
1219,-77
1220,-80
1221,23
1222,223
1223,224
1224,299
1225,329
1226,462
1227,555
1228,511
1229,634
1230,634
1231,714
1232,787
1233,704
1234,692
1235,611
1236,550
1237,596
1238,508
1239,372
1240,267
1241,137
1242,33
1243,-127
1244,-200
1245,-242
1246,-353
1247,-367
1248,-419
1249,-507
1250,-311
1251,-146
1252,-198
1253,-340
1254,-358
1255,-261
1256,-103
1257,-54
1258,-177
1259,-72
1260,44
1261,-16
1262,-3
1263,101
1264,219
1265,215
1266,162
1267,160
1268,296
1269,520
1270,448
1271,423
1272,481
1273,442
1274,437
1275,309
1276,114
1277,137
1278,44
1279,-157
1280,-319
1281,-430
1282,-473
1283,-557
1284,-632
1285,-685
1286,-600
1287,-507
1288,-550
1289,-354
1290,-277
1291,-361
1292,-327
1293,-419
1294,-427
1295,-378
1296,-297
1297,-323
1298,-374
1299,-234
1300,-394
1301,-454
1302,-248
1303,-479
1304,-564
1305,-446
1306,-603
1307,-529
1308,-476
1309,-424
1310,-385
1311,-499
1312,-349
1313,-214
1314,-300
1315,-352
1316,-228
1317,-326
1318,-344
1319,-182
1320,-424
1321,-536
1322,-395
1323,-333
1324,-208
1325,-298
1326,-184
1327,0
1328,-181
1329,-117
1330,-17
1331,-99
1332,106
1333,142
1334,150
1335,226
1336,219
1337,405
1338,520
1339,483
1340,312
1341,321
1342,302
1343,149
1344,137
1345,74
1346,114
1347,265
1348,167
1349,212
1350,214
1351,218
1352,241
1353,82
1354,107
1355,66
1356,-2
1357,3
1358,42
1359,5
1360,-87
1361,-97
1362,-24
1363,-168
1364,-185
1365,-177
1366,-321
1367,-246
1368,-237
1369,-306
1370,-225
1371,-313
1372,-353
1373,-396
1374,-417
1375,-398
1376,-468
1377,-462
1378,-526
1379,-707
1380,-652
1381,-688
1382,-763
1383,-614
1384,-702
1385,-817
1386,-695
1387,-625
1388,-476
1389,-456
1390,-368
1391,-161
1392,-58
1393,-43
1394,25
1395,-17
1396,-20
1397,-9
1398,-102
1399,-59
1400,-106
1401,-180
1402,-72
1403,-136
1404,-98
1405,27
1406,60
1407,108
1408,26
1409,137
1410,46
1411,-96
1412,-10
1413,-40
1414,-55
1415,-158
1416,-154
1417,-62
1418,-221
1419,8
1420,179
1421,273
1422,526
1423,655
1424,620
1425,725
1426,935
1427,1099
1428,1159
1429,1131
1430,1083
1431,1030
1432,963
1433,836
1434,789
1435,705
1436,525
1437,424
1438,399
1439,397
1440,388
1441,359
1442,433
1443,548
1444,527
1445,470
1446,565
1447,611
1448,551
1449,604
1450,676
1451,630
1452,566
1453,672
1454,715
1455,562
1456,394
1457,427
1458,182
1459,73
1460,-10
1461,-178
1462,19
1463,-122
1464,-256
1465,-330
1466,-321
1467,-259
1468,-353
1469,-414
1470,-390
1471,-315
1472,-220
1473,-140
1474,-126
1475,-36
1476,-112
1477,-69
1478,-2
1479,-39
1480,-106
1481,-197
1482,-44
1483,-50
1484,-211
1485,-218
1486,-248
1487,-213
1488,-262
1489,-393
1490,-424
1491,-448
1492,-451
1493,-389
1494,-236
1495,-399
1496,-554
1497,-539
1498,-573
1499,-603
1500,-826
1501,-973
1502,-1366
1503,-1994
1504,-2280
1505,-2238
1506,-2259
1507,-2267
1508,-2690
1509,-3584
1510,-4069
1511,-4081
1512,-3885
1513,-3087
1514,-1993
1515,-982
1516,-133
1517,414
1518,-18
1519,-1386
1520,-2612
1521,-2770
1522,-1609
1523,325
1524,2372
1525,4462
1526,6935
1527,9732
1528,12791
1529,15588
1530,17364
1531,18300
1532,18485
1533,17297
1534,15597
1535,13648
1536,10978
1537,8327
1538,5594
1539,2628
1540,-460
1541,-3532
1542,-6315
1543,-8699
1544,-10396
1545,-11130
1546,-10920
1547,-10079
1548,-9110
1549,-8100
1550,-7367
1551,-6816
1552,-6559
1553,-6333
1554,-6355
1555,-6744
1556,-7152
1557,-7576
1558,-7935
1559,-8084
1560,-8123
1561,-7971
1562,-7544
1563,-6904
1564,-6023
1565,-4794
1566,-3359
1567,-1839
1568,-305
1569,1161
1570,2256
1571,3222
1572,4023
1573,4457
1574,4527
1575,4302
1576,4167
1577,4049
1578,3594
1579,3198
1580,3022
1581,2820
1582,2656
1583,2458
1584,2233
1585,2139
1586,2059
1587,1921
1588,1855
1589,1647
1590,1259
1591,980
1592,694
1593,226
1594,-179
1595,-518
1596,-779
1597,-898
1598,-1143
1599,-1336
1600,-1252
1601,-1039
1602,-865
1603,-459
1604,-74
1605,546
1606,1082
1607,1625
1608,2287
1609,2733
1610,3027
1611,3359
1612,3508
1613,3509
1614,3901
1615,4085
1616,4145
1617,4502
1618,4313
1619,3558
1620,2186
1621,156
1622,-1887
1623,-3887
1624,-5553
1625,-6786
1626,-7539
1627,-8234
1628,-9197
1629,-9973
1630,-10700
1631,-11296
1632,-11410
1633,-11138
1634,-10447
1635,-9427
1636,-8206
1637,-6676
1638,-5041
1639,-3452
1640,-1845
1641,-330
1642,1102
1643,2556
1644,3936
1645,5114
1646,6229
1647,7166
1648,7649
1649,8060
1650,8191
1651,8047
1652,8095
1653,8023
1654,7737
1655,7432
1656,7230
1657,6761
1658,6175
1659,5736
1660,5211
1661,4753
1662,4313
1663,3741
1664,3165
1665,2742
1666,2390
1667,1955
1668,1582
1669,1482
1670,1281
1671,1063
1672,929
1673,816
1674,652
1675,507
1676,312
1677,70
1678,-218
1679,-483
1680,-761
1681,-975
1682,-1091
1683,-1223
1684,-1313
1685,-1344
1686,-1545
1687,-1664
1688,-1701
1689,-1836
1690,-2019
1691,-2175
1692,-2347
1693,-2549
1694,-2682
1695,-3041
1696,-3247
1697,-3430
1698,-3711
1699,-3927
1700,-4094
1701,-4233
1702,-4313
1703,-4225
1704,-4200
1705,-4225
1706,-4215
1707,-3987
1708,-3869
1709,-3792
1710,-3635
1711,-3323
1712,-3023
1713,-2792
1714,-2618
1715,-2443
1716,-2251
1717,-1969
1718,-1686
1719,-1593
1720,-1271
1721,-913
1722,-706
1723,-425
1724,-300
1725,-179
1726,59
1727,234
1728,440
1729,524
1730,641
1731,648
1732,720
1733,799
1734,774
1735,890
1736,1023
1737,1135
1738,1083
1739,1112
1740,1194
1741,1019
1742,999
1743,1011
1744,1030
1745,1027
1746,972
1747,1126
1748,1119
1749,1007
1750,1007
1751,919
1752,818
1753,614
1754,450
1755,462
1756,434
1757,518
1758,541
1759,613
1760,624
1761,723
1762,725
1763,624
1764,670
1765,611
1766,575
1767,606
1768,472
1769,448
1770,421
1771,346
1772,371
1773,362
1774,336
1775,358
1776,288
1777,471
1778,419
1779,386
1780,674
1781,499
1782,389
1783,552
1784,479
1785,417
1786,435
1787,449
1788,338
1789,333
1790,341
1791,305
1792,492
1793,379
1794,386
1795,327
1796,194
1797,246
1798,216
1799,180
1800,131
1801,136
1802,138
1803,147
1804,202
1805,247
1806,252
1807,308
1808,191
1809,229
1810,244
1811,162
1812,249
1813,132
1814,166
1815,194
1816,-3
1817,2
1818,36
1819,4
1820,-121
1821,-14
1822,-28
1823,-28
1824,43
1825,-95
1826,-129
1827,-104
1828,-129
1829,-244
1830,-363
1831,-365
1832,-330
1833,-342
1834,-347
1835,-187
1836,-159
1837,-219
1838,-100
1839,-63
1840,-285
1841,-395
1842,-397
1843,-434
1844,-345
1845,-455
1846,-495
1847,-299
1848,-328
1849,-390
1850,-331
1851,-253
1852,-191
1853,-81
1854,-5
1855,10
1856,180
1857,271
1858,223
1859,293
1860,254
1861,234
1862,577
1863,733
1864,702
1865,848
1866,771
1867,767
1868,969
1869,1020
1870,853
1871,858
1872,1079
1873,1135
1874,1131
1875,1118
1876,944
1877,830
1878,841
1879,704
1880,566
1881,580
1882,633
1883,645
1884,703
1885,529
1886,489
1887,513
1888,401
1889,388
1890,262
1891,144
1892,189
1893,134
1894,-28
1895,-81
1896,-313
1897,-358
1898,-377
1899,-483
1900,-463
1901,-503
1902,-565
1903,-524
1904,-515
1905,-686
1906,-779
1907,-995
1908,-1370
1909,-1540
1910,-1643
1911,-1253
1912,-590
1913,2
1914,514
1915,352
1916,75
1917,136
1918,122
1919,338
1920,470
1921,343
1922,359
1923,321
1924,269
1925,212
1926,273
1927,295
1928,106
1929,-33
1930,-91
1931,-208
1932,-279
1933,-392
1934,-529
1935,-597
1936,-656
1937,-719
1938,-710
1939,-704
1940,-851
1941,-773
1942,-567
1943,-667
1944,-606
1945,-589
1946,-645
1947,-511
1948,-527
1949,-486
1950,-502
1951,-518
1952,-436
1953,-487
1954,-544
1955,-580
1956,-390
1957,-341
1958,-484
1959,-396
1960,-382
1961,-552
1962,-434
1963,-287
1964,-297
1965,-182
1966,-179
1967,-50
1968,99
1969,137
1970,204
1971,211
1972,211
1973,232
1974,241
1975,526
1976,429
1977,165
1978,354
1979,441
1980,295
1981,309
1982,335
1983,424
1984,520
1985,353
1986,363
1987,378
1988,308
1989,216
1990,180
1991,91
1992,-19
1993,-80
1994,-129
1995,-172
1996,-182
1997,-205
1998,-106
1999,47
2000,-11
2001,-163
2002,149
2003,341
2004,175
2005,206
2006,170
2007,24
2008,-27
2009,-77
2010,-270
2011,-330
2012,-322
2013,-486
2014,-456
2015,-310
2016,-219
2017,-86
2018,-140
2019,-174
2020,-117
2021,-272
2022,-344
2023,-456
2024,-809
2025,-1073
2026,-1000
2027,-612
2028,-477
2029,-503
2030,-328
2031,-81
2032,63
2033,219
2034,482
2035,752
2036,1000
2037,1250
2038,1401
2039,1492
2040,1398
2041,1250
2042,1164
2043,1043
2044,913
2045,722
2046,603
2047,481
2048,291
2049,280
2050,123
2051,-80
2052,-156
2053,-19
2054,-16
2055,-102
2056,78
2057,151
2058,250
2059,390
2060,427
2061,495
2062,591
2063,704
2064,676
2065,637
2066,654
2067,358
2068,319
2069,520
2070,408
2071,275
2072,218
2073,100
2074,8
2075,-28
2076,-221
2077,-257
2078,-178
2079,-220
2080,-314
2081,-397
2082,-344
2083,-415
2084,-544
2085,-491
2086,-487
2087,-461
2088,-369
2089,-355
2090,-395
2091,-476
2092,-500
2093,-377
2094,-331
2095,-459
2096,-416
2097,-362
2098,-496
2099,-486
2100,-514
2101,-592
2102,-456
2103,-520
2104,-542
2105,-537
2106,-690
2107,-591
2108,-722
2109,-570
2110,-286
2111,-278
2112,-144
2113,-123
2114,-88
2115,201
2116,233
2117,269
2118,308
2119,273
2120,364
2121,465
2122,385
2123,385
2124,463
2125,393
2126,311
2127,263
2128,207
2129,190
2130,-72
2131,-198
2132,50
2133,47
2134,-174
2135,-221
2136,-54
2137,125
2138,-25
2139,67
2140,220
2141,227
2142,199
2143,244
2144,516
2145,510
2146,279
2147,371
2148,480
2149,404
2150,526
2151,374
2152,257
2153,592
2154,648
2155,517
2156,641
2157,740
2158,610
2159,650
2160,682
2161,407
2162,353
2163,385
2164,46
2165,-297
2166,-391
2167,-426
2168,-485
2169,-497
2170,-312
2171,-2
2172,106
2173,208
2174,422
2175,484
2176,473
2177,664
2178,543
2179,517
2180,738
2181,654
2182,472
2183,362
2184,263
2185,53
2186,-91
2187,-123
2188,-89
2189,-82
2190,-348
2191,-834
2192,-550
2193,-525
2194,-730
2195,139
2196,439
2197,112
2198,-71
2199,-96
2200,-203
2201,-227
2202,45
2203,-28
2204,-105
2205,-103
2206,-84
2207,5
2208,74
2209,-2
2210,-24
2211,-11
2212,-32
2213,7
2214,89
2215,-89
2216,-233
2217,3
2218,238
2219,265
2220,169
2221,147
2222,279
2223,320
2224,211
2225,48
2226,99
2227,289
2228,228
2229,90
2230,-140
2231,-224
2232,316
2233,548
2234,434
2235,372
2236,317
2237,451
2238,375
2239,357
2240,414
2241,316
2242,323
2243,252
2244,153
2245,175
2246,97
2247,126
2248,12
2249,-74
2250,-42
2251,-167
2252,-135
2253,-66
2254,-192
2255,-323
2256,-230
2257,-98
2258,-91
2259,6
2260,21
2261,-90
2262,-117
2263,-220
2264,-430
2265,-436
2266,-600
2267,-737
2268,-687
2269,-707
2270,-816
2271,-885
2272,-870
2273,-900
2274,-998
2275,-1057
2276,-1065
2277,-1068
2278,-1053
2279,-895
2280,-813
2281,-680
2282,-610
2283,-560
2284,-429
2285,-447
2286,-415
2287,-271
2288,-231
2289,-152
2290,-139
2291,-149
2292,-24
2293,-9
2294,31
2295,13
2296,-40
2297,123
2298,53
2299,-16
2300,-3
2301,11
2302,39
2303,-51
2304,37
2305,115
2306,83
2307,166
2308,150
2309,194
2310,86
2311,-62
2312,50
2313,17
2314,-76
2315,-160
2316,-101
2317,96
2318,42
2319,80
2320,212
2321,192
2322,194
2323,101
2324,143
2325,200
2326,210
2327,400
2328,363
2329,332
2330,351
2331,213
2332,211
2333,207
2334,251
2335,324
2336,325
2337,375
2338,506
2339,600
2340,593
2341,685
2342,883
2343,934
2344,1068
2345,1086
2346,1048
2347,1133
2348,1116
2349,1385
2350,1837
2351,1967
2352,1890
2353,1803
2354,1798
2355,1636
2356,1619
2357,1554
2358,1179
2359,855
2360,492
2361,330
2362,608
2363,572
2364,376
2365,240
2366,259
2367,564
2368,590
2369,383
2370,197
2371,53
2372,-53
2373,-247
2374,-273
2375,-286
2376,-429
2377,-575
2378,-727
2379,-759
2380,-836
2381,-937
2382,-1078
2383,-1016
2384,-987
2385,-1315
2386,-1317
2387,-1261
2388,-1427
2389,-1509
2390,-1635
2391,-1818
2392,-2007
2393,-2256
2394,-2379
2395,-2412
2396,-2574
2397,-2608
2398,-2606
2399,-2530
2400,-2455
2401,-2544
2402,-2502
2403,-2339
2404,-2236
2405,-2235
2406,-2125
2407,-1956
2408,-1841
2409,-1612
2410,-1549
2411,-1567
2412,-1240
2413,-1149
2414,-1163
2415,-1025
2416,-1034
2417,-1117
2418,-1123
2419,-1058
2420,-1022
2421,-940
2422,-712
2423,-397
2424,-82
2425,-18
2426,-104
2427,-102
2428,-223
2429,195
2430,979
2431,1456
2432,1387
2433,784
2434,89
2435,-350
2436,-350
2437,129
2438,379
2439,298
2440,5
2441,-86
2442,406
2443,498
2444,-387
2445,-1748
2446,-2791
2447,-3115
2448,-2807
2449,-1721
2450,-566
2451,-69
2452,237
2453,24
2454,-884
2455,-2179
2456,-3228
2457,-3925
2458,-4804
2459,-5902
2460,-6862
2461,-7655
2462,-7859
2463,-7263
2464,-6414
2465,-5604
2466,-4980
2467,-4270
2468,-3558
2469,-2665
2470,-1571
2471,-41
2472,1682
2473,3099
2474,4243
2475,4951
2476,5604
2477,5982
2478,6428
2479,7470
2480,8119
2481,8543
2482,9079
2483,9424
2484,9533
2485,9186
2486,8680
2487,8188
2488,7307
2489,6126
2490,4461
2491,2301
2492,-147
2493,-2682
2494,-4869
2495,-6630
2496,-7624
2497,-7660
2498,-7194
2499,-6683
2500,-6567
2501,-6652
2502,-6405
2503,-5701
2504,-4338
2505,-2864
2506,-1473
2507,482
2508,2499
2509,4227
2510,5970
2511,7541
2512,8980
2513,10187
2514,11602
2515,13275
2516,15147
2517,17178
2518,19018
2519,20761
2520,22055
2521,22796
2522,23238
2523,23423
2524,23793
2525,23900
2526,23900
2527,24098
2528,23912
2529,23437
2530,22282
2531,20180
2532,17219
2533,13218
